fit-54.3	america		exist-47.1-1	Synset('fear.n.01')
calibratable_cos-45.6-1	dow		calibratable_cos-45.6-1	Synset('framework.n.03')
correspond-36.1	Synset('enterprise.n.02')		Synset('fund.n.01')	Synset('orientation.n.02')
correspond-36.1	Synset('enterprise.n.02')		Synset('written_agreement.n.01')	Synset('orientation.n.02')
correspond-36.1	Synset('enterprise.n.02')		Synset('fund.n.01')	characterize-29.2
correspond-36.1	Synset('enterprise.n.02')		Synset('fund.n.01')	Synset('written_agreement.n.01')
correspond-36.1	Synset('enterprise.n.02')		characterize-29.2	Synset('orientation.n.02')
correspond-36.1	Synset('enterprise.n.02')		characterize-29.2	Synset('written_agreement.n.01')
calibratable_cos-45.6-1	dow		Synset('framework.n.03')	correspond-36.1
calibratable_cos-45.6-1	dow		Synset('framework.n.03')	withdraw-82-3
appear-48.1.1	Synset('document.n.01')		Synset('activity.n.01')	Synset('abstraction.n.06')
characterize-29.2	thomas		fill-9.8	Synset('people.n.01')
appear-48.1.1	Synset('paper.n.01')		Synset('abstraction.n.06')	Synset('stream.n.01')
Synset('document.n.01')	Synset('paper.n.01')		Synset('activity.n.01')	Synset('stream.n.01')
characterize-29.2	thomas		fill-9.8	Synset('legislator.n.01')
appear-48.1.1	Synset('paper.n.01')		Synset('activity.n.01')	Synset('stream.n.01')
Synset('document.n.01')	Synset('paper.n.01')		Synset('abstraction.n.06')	Synset('stream.n.01')
Synset('document.n.01')	Synset('paper.n.01')		ferret-35.6	Synset('stream.n.01')
Synset('document.n.01')	Synset('paper.n.01')		ferret-35.6	Synset('abstraction.n.06')
appear-48.1.1	Synset('paper.n.01')		Synset('activity.n.01')	ferret-35.6
appear-48.1.1	Synset('commodity.n.01')		Synset('commerce.n.01')	Synset('insufficiency.n.03')
Synset('document.n.01')	Synset('paper.n.01')		Synset('activity.n.01')	ferret-35.6
Synset('document.n.01')	Synset('paper.n.01')		Synset('activity.n.01')	Synset('abstraction.n.06')
appear-48.1.1	Synset('paper.n.01')		ferret-35.6	Synset('stream.n.01')
appear-48.1.1	Synset('paper.n.01')		Synset('activity.n.01')	Synset('abstraction.n.06')
appear-48.1.1	Synset('paper.n.01')		ferret-35.6	Synset('abstraction.n.06')
characterize-29.2	thomas		Synset('people.n.01')	Synset('legislator.n.01')
appear-48.1.1	Synset('document.n.01')		ferret-35.6	Synset('abstraction.n.06')
appear-48.1.1	Synset('document.n.01')		Synset('activity.n.01')	Synset('stream.n.01')
appear-48.1.1	Synset('document.n.01')		Synset('abstraction.n.06')	Synset('stream.n.01')
appear-48.1.1	Synset('document.n.01')		ferret-35.6	Synset('stream.n.01')
appear-48.1.1	Synset('document.n.01')		Synset('activity.n.01')	ferret-35.6
amuse-31.1	let		Synset('emotion.n.01')	Synset('organism.n.01')
calibratable_cos-45.6-1	Synset('commodity.n.01')		Synset('commerce.n.01')	Synset('insufficiency.n.03')
begin-55.1-1	Synset('attempt.n.01')		get-13.5.1	Synset('panelist.n.01')
amuse-31.1	Synset('zoonosis.n.01')		Synset('emotion.n.01')	Synset('organism.n.01')
Synset('force.n.04')	Synset('violence.n.01')		Synset('military_action.n.01')	Synset('railway.n.01')
murder-42.1	Synset('indo-european.n.02')		Synset('heading.n.01')	Synset('search.n.04')
do	Synset('zoonosis.n.01')		Synset('emotion.n.01')	Synset('organism.n.01')
murder-42.1	piston		Synset('heading.n.01')	Synset('search.n.04')
contribute-13.2-2	Synset('athlete.n.01')		indicate-78-1	Synset('information.n.01')
calibratable_cos-45.6-1	Synset('commodity.n.01')		other_cos-45.4	Synset('commerce.n.01')
Synset('emergence.n.01')	banks		Synset('monetary_unit.n.01')	Synset('time_unit.n.01')
calibratable_cos-45.6-1	dow		stop-55.4-1	Synset('framework.n.03')
appear-48.1.1	dow		calibratable_cos-45.6-1	Synset('framework.n.03')
calibratable_cos-45.6-1	dow		Synset('framework.n.03')	Synset('time_unit.n.01')
appear-48.1.1	Synset('commodity.n.01')		other_cos-45.4	Synset('insufficiency.n.03')
appear-48.1.1	banks		Synset('monetary_unit.n.01')	Synset('time_unit.n.01')
Synset('attempt.n.01')	tyson		get-13.5.1	Synset('panelist.n.01')
cooperate-73-3	Synset('athlete.n.01')		indicate-78-1	Synset('information.n.01')
amuse-31.1	do		Synset('emotion.n.01')	Synset('organism.n.01')
contribute-13.2-2	cooperate-73-3		indicate-78-1	Synset('information.n.01')
do	let		Synset('emotion.n.01')	Synset('organism.n.01')
appear-48.1.1	Synset('emergence.n.01')		Synset('monetary_unit.n.01')	Synset('time_unit.n.01')
characterize-29.2-1	Synset('merchant.n.01')		calibratable_cos-45.6-1	Synset('monetary_unit.n.01')
begin-55.1-1	tyson		get-13.5.1	Synset('panelist.n.01')
dow	send-11.1-1		Synset('framework.n.03')	correspond-36.1
Synset('indo-european.n.02')	piston		Synset('heading.n.01')	Synset('search.n.04')
appear-48.1.1	Synset('commodity.n.01')		other_cos-45.4	Synset('commerce.n.01')
await	Synset('merchant.n.01')		stop-55.4-1	Synset('monetary_unit.n.01')
calibratable_cos-45.6-1	Synset('commodity.n.01')		Synset('commerce.n.01')	Synset('disparity.n.01')
Synset('stupefaction.n.01')	Synset('medical_care.n.01')		Synset('change.n.01')	Synset('neural_structure.n.01')
let	Synset('zoonosis.n.01')		Synset('emotion.n.01')	Synset('organism.n.01')
Synset('emotion.n.01')	Synset('economic_process.n.01')		calibratable_cos-45.6-1	Synset('framework.n.03')
Synset('property.n.02')	bill-54.5		characterize-29.2-1	perot
other_cos-45.4	Synset('organic_process.n.01')		Synset('payment.n.02')	Synset('user.n.01')
await	Synset('merchant.n.01')		crane-40.3.2	Synset('monetary_unit.n.01')
other_cos-45.4	Synset('geological_phenomenon.n.01')		admire-31.2	Synset('juvenile.n.01')
Synset('emotion.n.01')	cheat-10.6-1		appear-48.1.1	Synset('value.n.02')
appear-48.1.1	Synset('thoroughfare.n.01')		murder-42.1-1	bronx
appear-48.1.1	Synset('attempt.n.01')		indicate-78-1	Synset('lawyer.n.01')
appear-48.1.1	Synset('propulsion.n.02')		Synset('adult.n.01')	bronx
Synset('emotion.n.01')	cheat-10.6-1		appear-48.1.1	Synset('funds.n.01')
await	Synset('merchant.n.01')		Synset('monetary_unit.n.01')	Synset('time_unit.n.01')
other_cos-45.4	Synset('potential.n.01')		Synset('value.n.02')	Synset('lipid.n.01')
Synset('point.n.06')	Synset('slav.n.01')		Synset('indefinite_quantity.n.01')	conjecture-29.5-2
Synset('property.n.02')	conjecture-29.5-2		Synset('value.n.02')	Synset('funds.n.01')
other_cos-45.4	Synset('potential.n.01')		other_cos-45.4	Synset('plate_glass.n.01')
Synset('document.n.01')	Synset('conversation.n.01')		Synset('monetary_unit.n.01')	correspond-36.1
other_cos-45.4	Synset('selling.n.01')		other_cos-45.4	Synset('plate_glass.n.01')
exist-47.1-1	iraq		Synset('woody_plant.n.01')	Synset('honor.n.02')
amuse-31.1	Synset('property.n.02')		characterize-29.2-1	Synset('discussion.n.02')
await	Synset('merchant.n.01')		Synset('value.n.02')	Synset('attraction.n.01')
Synset('tax.n.01')	Synset('agent.n.05')		Synset('framework.n.03')	Synset('flow.n.01')
Synset('document.n.01')	await		Synset('monetary_unit.n.01')	correspond-36.1
characterize-29.2-1	Synset('merchant.n.01')		calibratable_cos-45.6-1	Synset('value.n.02')
bring-11.3	europe		s	Synset('structure.n.01')
appear-48.1.1	Synset('celestial_body.n.01')		conjecture-29.5-2	Synset('word.n.01')
Synset('time_period.n.01')	Synset('area.n.01')		s	Synset('structure.n.01')
other_cos-45.4	Synset('selling.n.01')		other_cos-45.4	Synset('value.n.02')
bump-18.4	Synset('motor_vehicle.n.01')		murder-42.1-1	Synset('adult.n.01')
Synset('time_period.n.01')	europe		s	Synset('structure.n.01')
calibratable_cos-45.6-1	Synset('income.n.01')		calibratable_cos-45.6-1	Synset('list.n.01')
calibratable_cos-45.6-1	dow		stop-55.4-1	Synset('time_unit.n.01')
other_cos-45.4	texas		admire-31.2	Synset('juvenile.n.01')
near	Synset('choice.n.02')		Synset('public_transport.n.01')	india
Synset('american.n.01')	peer-30.3		mets	peer-30.3
appear-48.1.1	Synset('thoroughfare.n.01')		Synset('adult.n.01')	bronx
calibratable_cos-45.6-1	dow		Synset('framework.n.03')	obtain-13.5.2
appear-48.1.1	Synset('gossip.n.02')		Synset('municipality.n.01')	complete-55.2
disappearance-48.2	Synset('structure.n.01')		exist-47.1-1	battle-36.4-1
Synset('merchant.n.01')	Synset('agent.n.05')		Synset('value.n.02')	Synset('attraction.n.01')
exist-47.1-1	Synset('questioning.n.01')		other_cos-45.4	Synset('woody_plant.n.01')
amuse-31.1	Synset('capitalist.n.02')		calibratable_cos-45.6-1	Synset('assets.n.01')
Synset('indefinite_quantity.n.01')	cheat-10.6-1		Synset('value.n.02')	Synset('lipid.n.01')
Synset('geological_phenomenon.n.01')	texas		admire-31.2	Synset('juvenile.n.01')
Synset('administrative_district.n.01')	animal_sounds-38		amuse-31.1	Synset('administrative_district.n.01')
near	Synset('choice.n.02')		murder-42.1-1	Synset('explosive_device.n.01')
knicks	defeat		Synset('large_indefinite_quantity.n.01')	ewing
Synset('property.n.02')	bill-54.5		characterize-29.2-1	Synset('discussion.n.02')
Synset('time_period.n.01')	bring-11.3		s	Synset('structure.n.01')
Synset('collection.n.01')	Synset('merchant.n.01')		stop-55.4-1	Synset('monetary_unit.n.01')
calibratable_cos-45.6-1	dow		Synset('value.n.02')	Synset('capital.n.01')
fill-9.8	Synset('danger.n.03')		banish-10.2	Synset('artifact.n.01')
appear-48.1.1	dow		Synset('framework.n.03')	Synset('indefinite_quantity.n.01')
Synset('document.n.01')	Synset('capitalist.n.02')		Synset('monetary_unit.n.01')	correspond-36.1
await	Synset('merchant.n.01')		amuse-31.1	Synset('monetary_unit.n.01')
await	Synset('capitalist.n.02')		Synset('value.n.02')	Synset('funds.n.01')
amuse-31.1	Synset('commerce.n.01')		characterize-29.2-1	perot
Synset('emotion.n.01')	cheat-10.6-1		Synset('value.n.02')	Synset('time_unit.n.01')
appear-48.1.1	Synset('indefinite_quantity.n.01')		Synset('value.n.02')	Synset('lipid.n.01')
Synset('merchant.n.01')	Synset('tax.n.01')		calibratable_cos-45.6-1	Synset('monetary_unit.n.01')
ferret-35.6	Synset('capitalist.n.02')		Synset('value.n.02')	Synset('precious_metal.n.01')
Synset('merchant.n.01')	Synset('magnitude_relation.n.01')		calibratable_cos-45.6-1	Synset('value.n.02')
calibratable_cos-45.6-1	dow		continue-55.3	Synset('withdrawal.n.03')
appear-48.1.1	Synset('thoroughfare.n.01')		murder-42.1-1	Synset('adult.n.01')
begin-55.1-1	Synset('leisure.n.01')		appear-48.1.1	Synset('income.n.01')
Synset('property.n.02')	Synset('commerce.n.01')		characterize-29.2-1	Synset('discussion.n.02')
amuse-31.1	Synset('property.n.02')		characterize-29.2-1	perot
Synset('property.n.02')	Synset('commerce.n.01')		characterize-29.2-1	perot
Synset('discussion.n.02')	animal_sounds-38		other_cos-45.4	Synset('fund.n.01')
Synset('commerce.n.01')	await		Synset('monetary_unit.n.01')	correspond-36.1
Synset('value.n.02')	Synset('precious_metal.n.01')		Synset('monetary_unit.n.01')	contiguous_location-47.8
ferret-35.6	Synset('capitalist.n.02')		Synset('value.n.02')	Synset('funds.n.01')
Synset('point.n.06')	Synset('slav.n.01')		Synset('discussion.n.02')	bosnia
Synset('point.n.06')	Synset('slav.n.01')		Synset('discussion.n.02')	conjecture-29.5-2
Synset('collection.n.01')	await		stop-55.4-1	Synset('monetary_unit.n.01')
Synset('collection.n.01')	conjecture-29.5-2		calibratable_cos-45.6-1	Synset('value.n.02')
Synset('activity.n.01')	Synset('capitalist.n.02')		Synset('value.n.02')	Synset('funds.n.01')
appear-48.1.1	Synset('commodity.n.01')		Synset('commerce.n.01')	Synset('gregorian_calendar_month.n.01')
Synset('commerce.n.01')	Synset('conversation.n.01')		Synset('monetary_unit.n.01')	correspond-36.1
calibratable_cos-45.6-1	Synset('value.n.02')		convert-26.6.2	Synset('relief.n.02')
other_cos-45.4	Synset('negative_stimulus.n.01')		calibratable_cos-45.6-1	Synset('value.n.02')
Synset('administrative_district.n.01')	animal_sounds-38		Synset('administrative_district.n.01')	penn
appear-48.1.1	Synset('noise.n.01')		murder-42.1-1	Synset('arab.n.01')
Synset('income.n.01')	Synset('capitalist.n.02')		calibratable_cos-45.6-1	Synset('assets.n.01')
bring-11.3	Synset('area.n.01')		s	Synset('structure.n.01')
appear-48.1.1	Synset('propulsion.n.02')		murder-42.1-1	bronx
other_cos-45.4	Synset('selling.n.01')		other_cos-45.4	Synset('lipid.n.01')
Synset('emotion.n.01')	Synset('economic_process.n.01')		Synset('value.n.02')	Synset('funds.n.01')
begin-55.1-1	Synset('legislature.n.01')		Synset('person.n.01')	complete-55.2
ferret-35.6	Synset('shelter.n.01')		Synset('value.n.02')	Synset('funds.n.01')
Synset('organic_process.n.01')	Synset('financial_gain.n.01')		Synset('payment.n.02')	Synset('user.n.01')
appear-48.1.1	Synset('precious_metal.n.01')		calibratable_cos-45.6-1	Synset('monetary_unit.n.01')
appear-48.1.1	Synset('commodity.n.01')		Synset('gregorian_calendar_month.n.01')	Synset('insufficiency.n.03')
calibratable_cos-45.6-1	dow		Synset('framework.n.03')	Synset('withdrawal.n.03')
amuse-31.1	Synset('income.n.01')		calibratable_cos-45.6-1	Synset('assets.n.01')
Synset('collection.n.01')	await		Synset('value.n.02')	Synset('funds.n.01')
appear-48.1.1	dow		Synset('framework.n.03')	nonvehicle-51.4.2
knicks	sun		Synset('large_indefinite_quantity.n.01')	ewing
judgement-33	Synset('slav.n.01')		Synset('indefinite_quantity.n.01')	bosnia
appear-48.1.1	Synset('gossip.n.02')		Synset('body_of_water.n.01')	Synset('compound.n.02')
Synset('document.n.01')	Synset('capitalist.n.02')		calibratable_cos-45.6-1	Synset('assets.n.01')
near	Synset('vote.n.02')		other_cos-45.4	Synset('disturbance.n.03')
calibratable_cos-45.6-1	Synset('commodity.n.01')		other_cos-45.4	Synset('disparity.n.01')
other_cos-45.4	Synset('selling.n.01')		Synset('value.n.02')	Synset('plate_glass.n.01')
Synset('commerce.n.01')	Synset('document.n.01')		Synset('monetary_unit.n.01')	correspond-36.1
amuse-31.1	Synset('commerce.n.01')		characterize-29.2-1	Synset('discussion.n.02')
judgement-33	Synset('slav.n.01')		Synset('discussion.n.02')	conjecture-29.5-2
Synset('emotion.n.01')	cheat-10.6-1		Synset('value.n.02')	Synset('funds.n.01')
near	Synset('vote.n.02')		other_cos-45.4	Synset('domestic_fowl.n.01')
Synset('capitalist.n.02')	Synset('shelter.n.01')		Synset('value.n.02')	Synset('funds.n.01')
other_cos-45.4	Synset('potential.n.01')		other_cos-45.4	Synset('value.n.02')
Synset('tax.n.01')	Synset('curiosity.n.01')		calibratable_cos-45.6-1	dow
other_cos-45.4	Synset('potential.n.01')		Synset('value.n.02')	Synset('plate_glass.n.01')
